Date, Open, High, Low, Close
05/14/09, 8285.92, 8376.64, 8273.90, 8331.32
05/13/09, 8461.80, 8462.04, 8262.43, 8284.89
05/12/09, 8419.17, 8517.46, 8365.65, 8469.11
05/11/09, 8569.23, 8569.23, 8410.33, 8418.77
05/08/09, 8410.73, 8587.55, 8410.73, 8574.65
05/07/09, 8513.56, 8577.19, 8358.00, 8409.85
05/06/09, 8403.48, 8518.57, 8403.00, 8512.28
05/05/09, 8425.55, 8458.12, 8362.78, 8410.65
05/04/09, 8213.60, 8434.86, 8213.60, 8426.74
05/01/09, 8167.41, 8219.81, 8099.31, 8212.41
04/30/09, 8188.51, 8307.51, 8136.90, 8168.12
04/29/09, 8018.31, 8257.57, 8017.91, 8185.73
04/28/09, 8023.56, 8091.66, 7938.98, 8016.95
04/27/09, 8073.82, 8122.56, 7987.16, 8025.00
04/24/09, 7957.45, 8127.50, 7957.45, 8076.29
04/23/09, 7886.81, 7979.44, 7804.21, 7957.06
04/22/09, 7964.78, 8044.83, 7868.01, 7886.57
04/21/09, 7841.73, 7979.20, 7791.95, 7969.56
04/20/09, 8128.94, 8128.94, 7840.45, 7841.73
04/17/09, 8125.43, 8190.66, 8086.88, 8131.33
04/16/09, 8029.14, 8168.12, 7962.71, 8125.43
04/15/09, 7914.92, 8041.32, 7870.48, 8029.62
04/14/09, 8057.41, 8057.41, 7902.26, 7920.18
04/13/09, 8082.02, 8113.41, 7963.75, 8057.81
04/09/09, 7839.89, 8087.28, 7839.89, 8083.38
04/08/09, 7788.68, 7887.52, 7750.85, 7837.11
04/07/09, 7968.92, 7969.08, 7762.08, 7789.56
04/06/09, 8016.16, 8016.16, 7862.20, 7975.85
04/03/09, 7980.63, 8019.50, 7897.24, 8017.59
04/02/09, 7763.99, 8075.73, 7763.99, 7978.08
04/01/09, 7606.13, 7789.00, 7483.87, 7761.60
03/31/09, 7523.77, 7725.36, 7523.45, 7608.92
03/30/09, 7773.31, 7773.39, 7437.59, 7522.02
03/27/09, 7922.57, 7922.57, 7735.95, 7776.18
03/26/09, 7752.36, 7931.33, 7752.28, 7924.56
03/25/09, 7659.81, 7863.63, 7550.06, 7749.81
03/24/09, 7773.47, 7796.57, 7646.99, 7659.97
